ano,mes,chuva,evaporacao,insolacao,tempmed,umidrel,tempmax_abs,tempmax_med,tempmin_abs,tempmin_med
1992,9,123.9,90.6,171.0,19.0,68.5,32.4,24.5,6.6,14.6
1992,10,273.6,104.6,204.1,22.0,69.2,33.8,27.6,10.8,17.1
1992,11,181.1,124.3,223.9,22.8,63.7,34.6,28.7,8.4,17.6
1992,12,47.0,148.6,292.4,26.1,60.5,35.2,31.9,16.2,20.7
1993,1,249.1,103.4,213.3,25.1,73.6,36.0,31.1,18.0,20.9
1993,2,82.7,86.2,207.2,23.2,70.5,33.4,29.1,14.6,18.6
1993,3,119.8,89.2,219.9,24.0,75.1,38.2,30.2,16.0,19.5
1993,4,91.5,82.6,218.6,22.8,72.9,32.2,28.6,8.6,18.4
1993,5,258.2,82.6,222.0,18.5,70.8,30.4,24.3,5.4,14.2
1993,6,237.8,62.8,176.2,16.3,75.8,26.6,21.6,2.8,12.4
1993,7,186.9,72.4,185.4,16.1,72.5,29.0,21.8,-0.4,12.0
1993,8,9.6,121.8,211.5,18.1,58.6,33.6,25.0,0.0,12.8
1993,9,252.2,92.8,133.2,18.6,69.3,35.2,23.4,8.4,14.6
1993,10,173.0,108.0,198.1,22.8,67.7,35.0,28.0,11.2,18.4
1993,11,156.6,134.0,219.6,23.7,62.4,34.8,30.0,12.0,18.3
1993,12,85.7,129.6,270.1,25.2,66.8,35.8,30.8,13.0,20.5
1994,1,79.8,141.4,261.3,25.4,63.8,34.2,31.6,15.4,20.3
1994,2,268.2,64.1,155.1,24.7,79.5,34.2,29.8,19.2,21.1
1994,3,89.0,100.0,254.9,23.2,70.0,32.2,28.9,13.6,18.7
1994,4,152.6,75.9,213.1,21.9,74.2,32.2,27.4,10.4,17.7
1994,5,189.6,60.6,174.3,19.6,79.9,31.4,24.5,10.4,16.3
1994,6,282.7,63.1,194.1,16.5,74.0,29.2,22.0,-0.2,12.4
1994,7,85.2,107.4,187.8,17.7,66.3,31.0,23.5,-0.8,13.5
1994,8,11.6,149.7,252.1,19.9,51.0,35.2,27.0,3.2,14.5
1994,9,125.2,135.6,205.2,21.6,60.5,36.2,27.9,7.4,16.8
1994,10,283.3,111.4,184.6,23.1,70.4,35.8,28.4,16.0,18.9
1994,11,264.8,110.4,217.3,22.6,67.2,33.0,28.0,13.6,18.0
1994,12,192.2,146.1,253.4,26.2,64.3,36.4,31.8,16.6,21.3
1995,1,208.2,75.3,189.2,24.8,79.8,33.2,29.8,18.4,21.3
1995,2,148.8,85.0,231.1,24.6,73.5,33.0,30.1,16.8,20.3
1995,3,271.8,82.9,222.5,23.2,74.0,31.8,28.8,15.6,18.9
1995,4,145.9,74.9,215.2,19.5,72.8,31.8,25.3,7.0,15.0
1995,5,13.4,74.1,209.6,17.5,74.4,31.2,23.2,5.4,13.0
1995,6,153.5,79.3,207.1,18.4,74.0,28.4,24.2,3.2,14.4
1995,7,84.8,101.9,189.6,19.6,72.2,30.4,25.1,7.2,16.0
1995,8,32.0,141.3,215.2,20.7,54.6,35.3,27.2,4.0,15.8
1995,9,192.0,141.9,162.4,20.5,58.3,34.6,26.5,5.0,15.7
1995,10,238.2,112.2,220.8,20.6,62.1,35.4,26.7,8.4,15.6
1995,11,62.4,148.8,294.6,24.8,55.9,36.0,30.8,14.9,19.2
1995,12,147.1,143.7,259.2,25.6,61.9,36.2,31.8,18.4,20.5
1996,1,187.6,98.8,223.4,25.4,72.5,35.0,31.0,18.6,21.3
1996,2,346.4,70.2,219.9,24.4,77.8,32.8,30.3,14.5,20.2
1996,3,201.8,76.4,199.2,23.1,77.2,31.7,28.4,12.0,19.2
1996,4,91.8,79.2,203.5,22.1,73.0,33.5,27.5,7.8,18.0
1996,5,59.4,78.0,233.8,19.2,69.9,29.5,25.4,11.3,14.6
1996,6,124.7,52.6,175.4,15.1,75.9,28.4,20.6,2.2,11.2
1996,7,83.1,73.8,229.7,14.9,66.1,26.0,21.4,2.4,10.3
1996,8,34.8,122.7,222.8,20.0,59.1,31.6,26.4,9.8,15.3
1996,9,157.4,82.8,203.4,18.9,66.1,34.0,24.7,6.0,13.9
1996,10,645.0,71.4,141.4,20.9,76.0,33.0,25.4,12.6,17.3
1996,11,136.0,105.0,249.3,24.1,65.7,32.8,29.8,14.2,19.4
1996,12,331.1,80.1,193.7,24.2,75.5,34.2,29.4,16.6,19.9
1997,1,115.4,91.8,240.5,25.5,72.7,34.2,31.1,18.0,21.6
1997,2,199.4,63.5,192.5,25.0,76.9,33.4,30.4,18.8,21.2
1997,3,22.2,106.4,271.2,23.8,63.5,32.6,30.3,16.0,18.8
1997,4,41.1,100.0,245.1,20.8,61.6,32.4,27.5,7.0,15.5
1997,5,318.8,85.9,208.0,18.9,66.6,31.6,24.6,5.4,14.6
1997,6,275.4,63.2,135.5,16.0,74.0,29.2,20.6,4.6,12.6
1997,7,107.2,92.8,209.2,18.9,67.0,28.4,24.4,5.0,14.9
1997,8,208.4,108.3,214.5,18.7,64.4,33.0,24.4,6.6,14.2
1997,9,241.4,104.8,163.1,21.0,67.9,32.8,26.8,9.0,16.8
1997,10,225.6,90.0,155.9,21.6,75.9,33.2,27.0,12.0,17.6
1997,11,310.7,74.7,143.5,23.4,77.4,36.4,28.6,14.4,19.5
1997,12,91.9,114.2,238.4,25.5,72.3,35.9,31.3,16.2,20.9
1998,1,152.5,100.6,234.7,25.8,74.3,35.9,31.8,18.0,21.2
1998,2,285.2,49.9,144.8,24.0,83.8,32.6,29.0,14.6,20.4
1998,3,293.6,60.5,176.6,22.9,81.5,33.8,28.1,8.4,19.3
1998,4,420.7,53.2,146.0,20.3,82.6,34.2,25.0,10.4,17.0
1998,5,198.2,64.0,199.4,17.3,76.4,29.2,23.0,8.8,13.2
1998,6,94.8,63.8,210.1,15.8,72.9,27.8,21.9,3.0,11.5
1998,7,56.4,77.8,218.2,17.7,72.1,29.2,23.7,4.8,13.5
1998,8,354.2,56.8,151.8,17.8,79.6,30.6,22.8,6.7,14.2
1998,9,346.4,76.5,135.4,18.7,75.4,32.8,23.8,7.4,14.8
1998,10,350.8,93.2,213.0,21.4,72.5,32.4,27.0,14.2,17.1
1998,11,52.4,131.5,258.8,23.6,61.6,34.6,30.0,14.4,18.0
1998,12,153.0,128.0,255.4,23.8,66.3,35.4,29.8,12.9,18.6
1999,1,240.0,109.3,259.7,24.7,72.0,34.7,31.3,17.8,19.8
1999,2,205.2,58.7,197.6,23.9,80.9,32.8,30.2,15.8,19.8
1999,3,70.2,86.3,219.0,24.4,75.1,33.8,29.9,17.6,20.6
1999,4,156.2,75.1,201.8,20.9,73.0,32.7,26.8,1.6,16.7
1999,5,96.2,85.1,221.5,16.6,72.0,30.0,23.1,2.0,12.1
1999,6,200.1,48.7,136.2,15.5,80.8,27.2,20.5,2.2,12.0
1999,7,138.4,61.0,156.3,15.9,78.8,28.2,21.5,3.6,12.0
1999,8,12.4,152.2,259.6,18.6,54.3,35.8,26.4,0.2,12.8
1999,9,97.2,201.7,228.0,21.5,52.1,35.4,28.6,7.2,16.0
1999,10,82.2,163.1,231.9,21.5,59.2,34.2,27.8,7.0,16.4
1999,11,65.4,179.2,264.9,22.3,53.5,35.0,29.0,10.8,16.2
1999,12,260.9,156.8,245.0,24.7,64.7,36.4,31.0,16.6,19.7
2000,1,193.7,115.8,276.6,25.2,70.2,34.8,31.6,17.7,20.6
2000,2,355.4,84.3,242.2,24.2,75.6,34.0,30.3,16.2,19.8
2000,3,97.4,83.9,252.7,23.3,75.3,32.4,29.6,14.3,19.0
2000,4,93.0,98.5,224.9,21.5,69.2,33.6,28.1,9.8,16.8
2000,5,167.0,69.4,187.8,16.4,75.0,28.2,22.3,5.0,12.4
2000,6,170.3,65.8,133.7,17.6,78.2,28.2,22.3,4.3,14.3
2000,7,89.0,88.1,216.3,12.8,68.5,26.8,19.6,-2.0,7.8
2000,8,113.8,116.5,208.2,18.5,62.3,32.7,25.0,6.5,13.6
2000,9,241.4,90.3,184.4,19.1,72.2,34.4,25.0,5.4,14.8
2000,10,300.0,114.4,210.7,22.9,69.7,35.4,28.9,8.8,18.0
2000,11,120.0,122.3,238.9,23.1,66.4,34.4,29.5,9.0,17.9
2000,12,155.8,126.9,266.5,24.6,67.8,36.0,30.5,12.7,19.5
2001,1,187.8,72.8,198.3,24.7,79.2,33.4,30.3,17.2,20.8
2001,2,239.4,42.5,169.0,24.6,83.4,34.0,30.1,19.4,21.2
2001,3,124.8,82.9,212.8,24.3,76.8,34.7,30.6,13.6,20.1
2001,4,176.6,61.7,194.8,22.8,77.9,32.0,28.3,16.5,19.2
2001,5,178.0,49.0,162.2,16.6,79.8,29.2,21.7,4.0,13.1
2001,6,125.0,59.0,191.3,15.7,77.6,28.6,21.4,1.0,11.8
2001,7,124.2,90.5,175.3,17.2,70.5,29.0,22.9,0.0,13.1
2001,8,61.4,122.0,232.4,20.5,61.4,31.8,26.9,10.3,15.7
2001,9,154.8,94.1,168.8,20.0,67.7,32.6,25.5,3.0,15.7
2001,10,168.6,154.5,245.4,22.2,62.4,34.6,28.9,10.0,17.0
2001,11,167.0,140.1,245.4,24.2,67.0,34.5,30.7,14.4,19.3
2001,12,92.2,143.4,276.0,23.9,67.4,35.0,29.9,11.4,18.5
2002,1,201.8,115.3,233.9,24.0,69.1,34.2,29.7,15.0,19.2
2002,2,64.6,97.0,216.9,23.6,71.6,31.8,29.4,15.0,19.0
2002,3,79.0,110.1,228.0,25.8,73.3,35.3,32.3,18.4,21.5
